"TOA5","FRG","CR3000","7964","CR3000.Std.32","CPU:SnowExp_CSAT_high_R1.CR3","23876","highfreq"
"TIMESTAMP","RECORD","Ux","Uy","Uz","Ts","vh","diag_word"
"TS","RN","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-01-27 13:30:40.85","170868671","-0.35","0.055","0.337","-3.758","195.1","0"
"2022-01-27 13:30:41.05","170868672","-0.296","0.039","0.382","-4.166","196","0"
"2022-01-27 13:30:41.1","170868673","-0.341","-0.028","0.341","-4.501","197.8","0"
"2022-01-27 13:30:41.15","170868674","-0.388","0.101","0.314","-4.267","199.2","0"
"2022-01-27 13:30:41.2","170868675","-0.381","0.015","0.289","-3.969","196.5","0"
"2022-01-27 13:30:41.25","170868676","-0.377","-0.071","0.236","-3.73","198.9","0"
"2022-01-27 13:30:41.3","170868677","-0.289","0.124","0.335","-4.079","196.3","0"
"2022-01-27 13:30:41.35","170868678","-0.3","0.116","0.35","-4.007","196.7","0"
"2022-01-27 13:30:41.4","170868679","-0.373","0.082","0.345","-4.316","193.8","0"
"2022-01-27 13:30:41.45","170868680","-0.376","0.167","0.364","-4.813","195.6","0"
"2022-01-27 13:30:41.5","170868681","-0.272","0.246","0.344","-5.05","194","0"
"2022-01-27 13:30:41.55","170868682","-0.249","0.265","0.377","-5.078","195.3","0"
"2022-01-27 13:30:41.6","170868683","-0.309","0.216","0.356","-4.995","195.4","0"
"2022-01-27 13:30:41.65","170868684","-0.309","0.149","0.375","-4.794","195.5","0"
"2022-01-27 13:30:41.7","170868685","-0.333","0.201","0.409","-5.017","196.4","0"
"2022-01-27 13:30:41.75","170868686","-0.411","0.292","0.388","-5.279","194.1","0"
"2022-01-27 13:30:41.8","170868687","-0.394","0.262","0.404","-5.073","194.5","0"
"2022-01-27 13:30:41.85","170868688","-0.452","0.222","0.423","-5.262","195.4","0"
"2022-01-27 13:30:41.9","170868689","-0.564","0.288","0.391","-5.375","194.5","0"
"2022-01-27 13:30:41.95","170868690","-0.645","0.39","0.312","-5.254","194.5","0"
"2022-01-27 13:30:42","170868691","-0.617","0.387","0.337","-5.589","194.8","0"
"2022-01-27 13:30:42.05","170868692","-0.59","0.394","0.365","-5.688","194.1","0"
"2022-01-27 13:30:42.1","170868693","-0.605","0.42","0.369","-5.918","195","0"
"2022-01-27 13:30:42.15","170868694","-0.648","0.372","0.347","-5.974","196.8","0"
"2022-01-27 13:30:42.2","170868695","-0.661","0.322","0.324","-5.422","194.6","0"
"2022-01-27 13:30:42.25","170868696","-0.74","0.309","0.261","-4.843","196.1","0"
"2022-01-27 13:30:42.3","170868697","-0.571","0.356","0.134","-4.478","198.1","0"
"2022-01-27 13:30:42.35","170868698","-0.415","0.025","0.182","-4.229","199.5","0"
"2022-01-27 13:30:42.4","170868699","-0.514","0.212","0.246","-4.229","199.3","0"
"2022-01-27 13:30:42.45","170868700","-0.552","0.275","0.324","-4.561","199.5","0"
"2022-01-27 13:30:42.5","170868701","-0.426","0.364","0.346","-5.066","196.1","0"
