"TOA5","treefort_1000x","CR1000X","6269","CR1000X.Std.02.00","CPU:TreeFort121J02.CR1X","4669","Fifteen"
"TIMESTAMP","RECORD","BattV_Min","USWindSpeed_S_WVT","USWindDir_D1_WVT","USWindDir_SD1_WVT","USWindSpeed_Max","USWindSpeed_Std","TargetTC1_Avg","TargetTC2_Avg","TargetTC3_Avg"
"TS","RN","Volt","m/s","Deg","Deg","m/s","m/s","","",""
"","","Min","WVc","WVc","WVc","Max","Std","Avg","Avg","Avg"
"2021-10-20 17:00:00",0,12.53,3.595,301.1,6.809,4.152,0.335,4.370654,4.923704,-8.10048
"2021-10-20 17:15:00",1,12.62,3.059,291.8,2.051,3.285,0.091,3.952263,4.070175,-17.83208
"2021-10-20 17:30:00",2,13.08,2.979,291.4,2.109,3.462,0.111,3.585066,-0.5023483,-22.06269
"2021-10-20 17:45:00",3,13.36,2.899,291.2,2.002,3.093,0.079,3.355747,1.278533,-8.832093
"2021-10-20 18:00:00",4,13.39,2.835,290.9,1.989,2.949,0.067,3.321553,2.669788,-4.176771
"2021-10-20 18:15:00",5,13.44,2.807,290.8,1.978,2.917,0.065,2.786922,2.537452,-9.244127
"2021-10-20 18:30:00",6,13.43,2.762,290.7,1.971,2.877,0.066,2.534718,2.091191,-14.82522
"2021-10-20 18:45:00",7,13.47,2.714,290.6,1.965,2.837,0.065,2.562301,1.650116,-14.74001
"2021-10-20 19:00:00",8,13.48,2.677,290.5,1.958,2.787,0.065,2.614108,1.777712,-3.879846
"2021-10-20 19:15:00",9,13.49,2.639,290.5,1.951,2.746,0.065,2.669465,1.491583,-8.866564
"2021-10-20 19:30:00",10,13.47,2.572,290.4,1.94,2.713,0.069,0.6332828,0.3830729,-23.81424
"2021-10-20 19:45:00",11,13.5,2.459,290.3,1.92,2.607,0.07,0.5019419,0.2055661,-21.30836
"2021-10-20 20:00:00",12,13.45,2.354,290.2,1.91,2.517,0.076,0.4988919,-0.535513,-33.265
"2021-10-20 20:15:00",13,13.56,2.254,290,1.888,2.373,0.063,-0.2405324,-0.5908495,-29.36491
"2021-10-20 20:30:00",14,13.56,2.236,290.1,1.887,2.353,0.065,0.7416962,-0.1772349,-12.82732
"2021-10-20 20:45:00",15,13.57,2.298,290.2,1.902,2.414,0.065,1.325814,0.2304447,-10.16593
"2021-10-20 21:00:00",16,13.56,2.278,290.2,1.894,2.4,0.068,0.7754269,0.4267093,-6.38928
"2021-10-20 21:15:00",17,13.56,2.137,290,1.871,2.286,0.074,0.7102838,0.05483331,-1.928544
"2021-10-20 21:30:00",18,13.56,1.997,289.9,1.852,2.146,0.066,0.2903978,-0.2843682,-3.920585
"2021-10-20 21:45:00",19,13.57,1.948,289.9,1.842,2.047,0.06,0.1306108,-0.1053277,-10.14433
"2021-10-20 22:00:00",20,13.57,1.93,289.9,1.842,2.033,0.061,-0.05879957,-0.09861314,-8.030067
"2021-10-20 22:15:00",21,13.57,1.936,289.9,1.846,2.034,0.06,0.1023994,0.1128649,-5.719737
"2021-10-20 22:30:00",22,13.54,1.911,289.9,1.835,2.011,0.06,-0.3641174,-0.1392042,-8.155225
"2021-10-20 22:45:00",23,13.54,1.895,289.9,1.834,1.99,0.059,-0.4222521,-0.1084117,-6.47295
"2021-10-20 23:00:00",24,13.54,1.913,289.9,1.841,2.013,0.061,-0.5302107,-0.06893819,-4.94902
"2021-10-20 23:15:00",25,13.48,1.93,290,1.844,2.028,0.059,-0.6015154,0.01268514,-5.164821
"2021-10-20 23:30:00",26,13.56,1.921,290,1.839,2.027,0.061,-1.165893,-0.1407539,-5.771451
"2021-10-20 23:45:00",27,13.54,1.891,289.9,1.837,1.995,0.06,-0.9143802,-0.3106859,-8.542721
"2021-10-21 00:00:00",28,13.55,1.862,289.9,1.83,1.964,0.06,-0.8212243,-0.4235101,-9.339119
"2021-10-21 00:15:00",29,13.54,1.878,289.9,1.834,1.983,0.06,-1.135532,-0.6173343,-10.99498
"2021-10-21 00:30:00",30,13.49,1.912,290,1.839,2.019,0.061,-1.540195,-0.5847741,-9.092035
"2021-10-21 00:45:00",31,13.57,1.988,290.1,1.857,2.142,0.074,-1.087119,-0.4762217,-10.48053
"2021-10-21 01:00:00",32,13.59,2.064,290.2,1.862,2.18,0.065,-1.547558,-0.8122647,-13.29255
"2021-10-21 01:15:00",33,13.59,1.978,290.1,1.845,2.114,0.062,-1.918698,-1.053057,-13.2993
"2021-10-21 01:30:00",34,13.5,1.967,290,1.85,2.073,0.061,-1.463391,-0.7786882,-9.678484
"2021-10-21 01:45:00",35,13.42,2.048,290.1,1.863,2.166,0.064,-0.606876,-0.4902554,-6.691519
"2021-10-21 02:00:00",36,13.56,2.054,290.1,1.865,2.18,0.065,-0.7171088,-0.596482,-8.865767
"2021-10-21 02:15:00",37,13.54,2.033,290.1,1.856,2.15,0.064,-1.165649,-0.885498,-14.15053
"2021-10-21 02:30:00",38,13.55,2.006,290.1,1.851,2.128,0.064,-1.854454,-1.088774,-12.05442
"2021-10-21 02:45:00",39,13.56,2.042,290.1,1.863,2.169,0.067,-2.478533,-1.288812,-19.05647
"2021-10-21 03:00:00",40,13.57,2.005,290.1,1.854,2.148,0.071,-1.748886,-1.117186,-14.98811
"2021-10-21 03:15:00",41,13.52,2.12,290.2,1.873,2.229,0.064,-0.6150519,-0.8416385,-11.2083
"2021-10-21 03:30:00",42,13.54,2.074,290.2,1.864,2.2,0.061,-1.71783,-1.202344,-16.70362
"2021-10-21 03:45:00",43,13.55,2.06,290.1,1.864,2.162,0.062,-1.344499,-1.198591,-17.48256
"2021-10-21 04:00:00",44,13.54,2.009,290.1,1.853,2.111,0.061,-1.298479,-1.203991,-11.64524
"2021-10-21 04:15:00",45,13.54,1.988,290.1,1.848,2.093,0.062,-0.5453291,-1.082573,-7.954766
"2021-10-21 04:30:00",46,13.55,1.942,290,1.841,2.051,0.059,-0.8622904,-0.9825955,-9.473786
"2021-10-21 04:45:00",47,13.53,1.919,290,1.841,2.042,0.063,-1.015718,-1.011123,-10.24427
"2021-10-21 05:00:00",48,13.56,1.975,290,1.847,2.077,0.06,-2.775902,-0.8865055,-18.20715
"2021-10-21 05:15:00",49,13.54,1.997,290.1,1.853,2.104,0.061,-3.195602,-1.205422,-21.35163
"2021-10-21 05:30:00",50,13.53,1.964,290,1.843,2.084,0.065,-4.116789,-1.69558,-32.03635
"2021-10-21 05:45:00",51,13.49,1.957,290,1.846,2.058,0.062,-2.41564,-1.146911,-21.75409
